name,price
603203,25.22
603206,17.61
603208,33.2
603209,15.76
603211,15.66
603212,15.94
603213,11.17
603214,15.84
603215,16.47
603216,13.18
603217,20.29
603218,13.94
603219,14.3
603220,36.52
603221,9.6
603222,9.41
603223,9.93
603225,12.5
603226,5.69
603227,7.6
603228,22.16
603229,15.01
603230,12.26
603232,13.45
603233,24.96
603235,26.27
603236,48.64
603237,27.24
603238,14.03
603239,17.94
603255,36.66
603256,8.39
603258,25.13
603259,86.92
603260,57.08
603261,33.95
603266,36.03
603267,56.19
603268,16.95
603269,14.69
603270,30.53
603272,17.34
603273,27.61
603275,43.17
603276,23.16
603277,28.32
603278,11.69
603279,23.15
603280,23.71
603281,28.61
603282,27.34
603283,54.5
603286,19.75
603288,37.53
603289,9.6
603290,189.46
603291,15.19
603296,80.87
603297,82.84
603298,22.51
603299,8.69
603300,5.83
603301,25.75
603303,13.47
603305,18.97
603306,31.8
603307,43.74
603308,13.82
603309,14.35
603311,10.89
603313,10.42
603315,10.88
603316,6.54
603317,14.77
603318,7.94
603319,17.25
603320,14.82
603321,8.15
603322,36.29
603323,4.31
603324,33.31
603326,10.03
603327,13.68
603328,8.08
603329,13.99
603330,7.95
603331,13.52
603332,9.76
603333,4.85
603335,6.73
603336,5.01
603337,21.37
603338,54.85
603339,11.87
603345,128.97
603348,40.72
603351,26.46
603353,27.69
603355,22.74
603356,13.37
603357,8.63
603358,19.2
603359,8.08
603360,10.11
603363,8.06
603365,14.35
603366,5.7
603367,13.93
603368,20.83
603369,57.89
603377,5.39
603378,8.8
603379,27.97
603380,24.89
603383,53.84
603385,7.56
603386,12.49
603387,11.33
603388,7.7
603389,6.11
603390,11.4
603392,44.95
603393,27.6
603396,48.2
603398,17.82
603399,10.45
603408,11.53
603416,37.93
603421,9.4
603429,8.69
603439,18.13
603444,279.29
603456,28.18
603458,9.0
603466,12.2
603477,32.07
603486,44.32
603488,8.89
603489,48.34
603496,26.91
603499,9.65
603500,11.47
603501,106.39
603505,29.32
603506,11.53
603507,25.79
603508,15.57
603511,16.07
603515,19.43
603516,19.19
603517,35.45
603518,8.88
603519,13.24
603520,15.58
603527,10.53
603528,8.59
603529,28.4
603530,14.63
603533,21.0
603535,17.16
603536,8.14
603538,20.21
603551,10.5
603555,1.77
603556,22.92
603557,2.24
603558,9.16
603559,8.83
603565,9.34
603566,20.23
603567,14.28
603568,18.16
603569,12.55
603577,9.22
603578,14.15
603579,20.39
603580,13.83
603583,21.13
603585,14.85
603586,14.05
603587,14.07
603588,7.85
603589,49.5
603590,39.09
603595,39.39
603596,75.84
603598,10.08
603599,16.6
603600,9.28
603601,4.46
603602,15.33
603603,3.23
603605,104.51
603606,45.85
603607,15.83
603608,4.64
603609,8.86
603610,11.66
603611,18.91
603612,17.06
603613,38.21
603615,10.23
603616,5.99
603617,8.73
603618,6.14
603619,20.71
603626,7.57
603628,11.9
603629,32.58
603630,15.13
603633,9.84
603636,12.23
603637,8.44
603638,16.59
603639,16.95
603648,9.37
603650,36.81
603655,20.73
603656,13.22
603657,15.14
603658,43.93
603659,24.83
603660,6.37
603661,30.27
603662,30.05
603663,9.16
603665,25.8
603666,32.08
603667,16.99
603668,16.95
603669,5.5
603676,10.76
603677,14.46
603678,27.5
603679,16.41
603680,9.44
603681,14.01
603682,5.81
603683,10.86
603685,14.94
603686,9.98
603687,10.34
603688,90.2
603689,8.68
603690,27.66
603693,11.49
